func,src,kind,result,score,stage,reason,elapsed,attempts,recommendation,size_insns,blocker_tags
func_80052BE4,src/code6cac_c2.c,asmfix,CLASSIFY,,,,,,gte_function,11,gte_ops
func_8007E8AC,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,12,gte_ops
func_80052754,src/text1a.c,asmfix,CLASSIFY,,,,,,gte_function,13,gte_ops
func_80052B44,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,14,gte_ops
func_80052B00,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,17,gte_ops
func_8007ED6C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,20,gte_ops
func_8007F24C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,21,gte_ops
func_80052A20,src/config.c,asmfix,CLASSIFY,,,,,,gte_function,26,gte_ops
func_80052B7C,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,26,gte_ops
func_8007F2DC,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,30,gte_ops
func_80052A88,src/text1a.c,asmfix,CLASSIFY,,,,,,gte_function,30,gte_ops
func_8004A76C,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,39,gte_ops
func_80052930,src/sound.c,asmfix,CLASSIFY,,,,,,gte_function,60,gte_ops
func_800203B4,src/code6cac.c,asmfix,CLASSIFY,,,,,,gte_function,67,gte_ops
func_8007E4DC,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,67,gte_ops
func_8007EB4C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,67,gte_ops
func_8007EC5C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,67,gte_ops
func_8007EA0C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,78,gte_ops
func_800300B4,src/code6cac_b.c,asmfix,CLASSIFY,,,,,,gte_function,85,gte_ops
func_8007E74C,src/display.c,asmfix,CLASSIFY,,,,,,gte_function,88,gte_ops
func_8002FF20,src/code6cac_b.c,asmfix,CLASSIFY,,,,,,gte_function,101,gte_ops
saSeInit,src/code6cac_b.c,asmfix,CLASSIFY,,,,,,gte_function,123,gte_ops
func_800325E0,src/code6cac.c,asmfix,CLASSIFY,,,,,,gte_function,157,gte_ops
func_80031890,src/code6cac_b.c,asmfix,CLASSIFY,,,,,,gte_function,165,gte_ops
DispSchoolBG,src/code6cac.c,asmfix,CLASSIFY,,,,,,gte_function,188,gte_ops
saTan0KiWareMoveB,src/code6cac_b.c,asmfix,CLASSIFY,,,,,,gte_function,212,gte_ops
func_800678A8,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,283,"gte_ops,aliasing_heavy"
func_80067200,src/text1b.c,asmfix,CLASSIFY,,,,,,gte_function,306,gte_ops
cpu_check_run_attack,src/code6cac.c,asmfix,CLASSIFY,,,,,,permanently_blocked:manual_skip,317,gte_ops
