# MOVOVL.EXE PsyQ library symbol map (verbatim-matched modules)
# vaddr           lib/module            symbol(s)
0x801DDF64 LIBGPU/SYS             _drs (static)
0x801DE1E8 LIBGPU/SYS             _ctl (static)
0x801DE210 LIBGPU/SYS             _getctl (static)
0x801DE224 LIBGPU/SYS             _cwb (static)
0x801DE274 LIBGPU/SYS             _cwc (static)
0x801DE2C0 LIBGPU/SYS             _param (static)
0x801DE2F0 LIBGPU/SYS             _addque (static)
0x801DE314 LIBGPU/SYS             _addque2 (static)
0x801DE5F4 LIBGPU/SYS             _exeque (static)
0x801DE8E0 LIBGPU/SYS             _reset (static)
0x801DEA3C LIBGPU/SYS             _sync (static)
0x801DEB84 LIBGPU/SYS             set_alarm (static)
0x801DEBB8 LIBGPU/SYS             get_alarm (static)
0x801DED24 LIBGPU/SYS             _version (static)
0x801DEE00 LIBGPU/SYS             memset (static)
0x801DEE2C LIBAPI/C73             GPU_cw
0x801DEE3C LIBC2/MEMCPY           memcpy
0x801DEE70 LIBCD/CDROM            StSetRing
0x801DEEA0 LIBCD/EVENT            CdInit
0x801DEF38 LIBCD/EVENT            def_cbsync (static)
0x801DEF60 LIBCD/EVENT            def_cbready (static)
0x801DEF88 LIBCD/EVENT            def_cbread (static)
0x801DEFB0 LIBAPI/A07             DeliverEvent
0x801DEFC0 LIBCD/SYS              CdStatus
0x801DEFD0 LIBCD/SYS              CdMode
0x801DEFE0 LIBCD/SYS              CdLastCom
0x801DEFF0 LIBCD/SYS              CdLastPos
0x801DF000 LIBCD/SYS              CdReset
0x801DF06C LIBCD/SYS              CdFlush
0x801DF08C LIBCD/SYS              CdSetDebug
0x801DF0A4 LIBCD/SYS              CdComstr
0x801DF0D8 LIBCD/SYS              CdIntstr
0x801DF10C LIBCD/SYS              CdSync
0x801DF12C LIBCD/SYS              CdReady
0x801DF14C LIBCD/SYS              CdSyncCallback
0x801DF164 LIBCD/SYS              CdReadyCallback
0x801DF17C LIBCD/SYS              CdControl
0x801DF2B4 LIBCD/SYS              CdControlF
0x801DF3E0 LIBCD/SYS              CdControlB
0x801DF524 LIBCD/SYS              CdMix
0x801DF544 LIBCD/SYS              CdGetSector
