address,proposed_name,confidence,evidence,technique
0x8007D2CC,gpu_helper_8007D2CC,info,shares data with gpu_* fns,data_coaccess
0x8007D2F4,load_only_8007D2F4,info,structural: load_only,structural
0x8007D3D4,gpu_helper_8007D3D4,low,propagation hop2 -> gpu,propagation
0x8007DE08,gpu_helper_8007DE08,info,shares data with gpu_* fns,data_coaccess
0x8007F200,stub_or_const_8007F200,info,structural: stub_or_const,structural
0x8007F5EC,motutil_helper_8007F5EC,info,shares data with motutil_* fns,data_coaccess
0x8008009C,load_only_8008009C,info,structural: load_only,structural
0x800800AC,tsltm2loadimage_helper_800800AC,info,shares data with tsltm2loadimage_* fns,data_coaccess
0x80080228,copy_or_accessor_80080228,info,structural: copy_or_accessor,structural
0x80080240,copy_or_accessor_80080240,info,structural: copy_or_accessor,structural
0x80081718,tsltm2loadimage_helper_80081718,info,shares data with tsltm2loadimage_* fns,data_coaccess
0x800817A0,tsltm2loadimage_helper_800817A0,info,shares data with tsltm2loadimage_* fns,data_coaccess
0x80081880,tsltm2loadimage_helper_80081880,info,shares data with tsltm2loadimage_* fns,data_coaccess
0x80081E1C,tsltm2loadimage_helper_80081E1C,low,propagation hop2 -> tsltm2loadimage,propagation
0x800848AC,motutil_helper_800848AC,low,propagation hop2 -> motutil,propagation
0x80085210,dispstuff_helper_80085210,info,shares data with dispstuff_* fns,data_coaccess
0x80086014,action_helper_80086014,info,shares data with action_* fns,data_coaccess
0x800863CC,store_only_800863CC,info,structural: store_only,structural
0x8008908C,satan_helper_8008908C,info,shares data with satan_* fns,data_coaccess
0x80089214,copy_or_accessor_80089214,info,structural: copy_or_accessor,structural
0x80089240,copy_or_accessor_80089240,info,structural: copy_or_accessor,structural
0x800892D4,bios_helper_800892D4,low,propagation hop2 -> bios,propagation
0x80089384,coli_helper_80089384,info,shares data with coli_* fns,data_coaccess
0x8008A434,satan_helper_8008A434,info,shares data with satan_* fns,data_coaccess
0x8008BD88,satan_helper_8008BD88,info,shares data with satan_* fns,data_coaccess
0x8008BEA4,cpu_helper_8008BEA4,info,shares data with cpu_* fns,data_coaccess
0x8008C184,setpacketdata_helper_8008C184,info,shares data with setpacketdata_* fns,data_coaccess
