pilot_rank,block_file,kind,readiness,n_symbols,n_jtbls,n_strings,n_data,bytes,n_owners,n_files,files,owners,n_stubs,n_completed,n_active,n_parked,n_authorize,n_orphan
-20000,101C.rodata_post.s,trivial,deletion-ready,0,0,0,0,0,0,0,,,0,0,0,0,0,0
2385,101C.rodata_text1a_b_pre.s,multi-file,partial,23,12,5,6,1598,19,2,"text1a,text1b","func_80049F4C,func_8004A4E0,func_8004C404,func_8004DA74,func_800525D8,func_800526A0,func_80054604,func_80058580,func_8005B7C4,func_80061064,func_8006B578,func_8006E534,func_8006ECF4,func_8007352C,func_800747D8,func_80077374,gnd_load_tex,motion_SetExMotion,tslGlobalMemFree_8005C2A8",12,9,1,1,0,0
3282,101C.rodata_text1a_b_post.s,multi-file,partial,68,4,64,0,2266,52,5,"display,gpu,ings2,system,text1b_b","D_80083418,cdrom_GetCmdName,cdrom_GetResultName,cdrom_Initialize,conv_matrix_rotation,cpu_side_move_dir_4,func_80077D94,func_80079244,func_80079A30,func_8007A7DC,func_8007A83C,func_8007ACBC,func_8007ADD0,func_8007AE7C,func_8007B000,func_8007B114,func_8007B178,func_8007B244,func_8007B3A8,func_8007B4D0,func_8007B564,func_8007B6C8,func_8007B844,func_8007B9B0,func_8007BAB4,func_8007BC08,func_8007DC9C,func_8007FF7C,func_80080168,func_80080828,func_800819C4,func_80082A14,func_80082D34,gpu_ClearOTag,gpu_DebugClut,gpu_DebugDispEnv,gpu_DebugDrawEnv,gpu_DebugTPage,gpu_DrawOTag,gpu_DrawSync,gpu_LoadImage,gpu_SetDebugLevel,gpu_SetDispMask,gpu_SetDither,gpu_SetInterlace,gpu_SetMode,gpu_StoreImage,marionation_Exec,saEft00Add,saEft01Init,tslTm2LoadImage,tslTm2LoadImage_2",23,58,9,9,0,0
